# 循環科技/環保 CN→TW 術語詞典（OpenCC 格式）
# 來源：維基百科兩岸用詞差異、環保部/環境部官方用語、產業慣用語整理
# 格式：CN_term\tTW_term
# 用途：translator.js 後處理，日文→中文翻譯後修正大陸用詞為台灣用詞
# 建檔日期：2026-03-14
# ===================================================

# === 環保/廢棄物核心術語 ===
固体废物	固體廢棄物
固体废弃物	固體廢棄物
固废	固廢
危险废物	有害事業廢棄物
危废	有害廢棄物
生活垃圾	一般廢棄物
城市生活垃圾	都市一般廢棄物
工业固废	事業廢棄物
垃圾填埋	垃圾掩埋
填埋场	掩埋場
卫生填埋	衛生掩埋
垃圾焚烧	垃圾焚化
焚烧厂	焚化廠
焚烧炉	焚化爐

# === 資源回收/循環經濟術語 ===
再生资源	再生資源
废品回收	資源回收
回收利用	回收再利用
循环利用	循環再利用
资源化利用	資源化處理
综合利用	綜合利用
再制造	再製造
梯次利用	梯次利用
以旧换新	以舊換新

# === 材料/化工/冶金術語 ===
冶炼	冶煉
精炼	精煉
提炼	提煉
湿法冶金	濕法冶金
火法冶金	火法冶金
电解	電解
萃取	萃取
浸出	浸出
尾矿	尾礦
矿渣	礦渣
炉渣	爐渣
废渣	廢渣
粉煤灰	飛灰
塑料	塑膠
橡胶	橡膠
纤维	纖維
复合材料	複合材料
高分子	高分子
可降解	可分解
生物降解	生物可分解

# === 水處理/污染防治術語 ===
废水处理	廢水處理
污水处理	污水處理
中水回用	中水回收再利用
达标排放	達標排放
排放标准	排放標準
污染源	污染源
点源污染	點源污染
面源污染	面源污染
环境影响评价	環境影響評估
环评	環評

# === ESG/永續相關術語 ===
可持续发展	永續發展
可持续	永續
碳达峰	碳達峰
碳中和	碳中和
温室气体	溫室氣體
碳排放	碳排放
碳足迹	碳足跡
碳交易	碳交易
碳权	碳權
绿色金融	綠色金融
节能减排	節能減碳
清洁生产	清潔生產
绿色制造	綠色製造
绿色建筑	綠色建築
新能源	新能源
光伏	太陽能光電
风电	風力發電

# === 法規/管理術語 ===
环保部门	環保機關
生态环境部	環境部
环境保护法	環境保護法
排污许可	排放許可
排污许可证	排放許可證
环境监测	環境監測
在线监测	線上監測
应急预案	緊急應變計畫

# === 產業特定（廢棄物資訊化/CLGM 相關）===
电子废弃物	電子廢棄物
废旧电池	廢電池
废旧家电	廢家電
报废汽车	報廢車輛
贵金属回收	貴金屬回收
稀有金属	稀有金屬
稀土	稀土
印刷电路板	印刷電路板
线路板	電路板
拆解	拆解
分拣	分選
破碎	破碎
