# 半導體 CN→TW 術語詞典（OpenCC 格式）
# 來源：維基百科 CGroup/Electronics、痞客邦IC設計用語對照、百度文庫兩岸半導體照明術語
# 格式：CN_term\tTW_term
# 用途：translator.js 後處理，日文→中文翻譯後修正大陸用詞為台灣用詞
# 建檔日期：2026-03-14
# ===================================================

# === 核心半導體元件/製程術語 ===
芯片	晶片
晶体管	電晶體
场效应管	場效電晶體
二极管	二極體
集成电路	積體電路
光刻机	曝光機
光刻	微影
前道工序	前段製程
后道工序	後段製程
流片	下線
衬底	基板
外延片	磊晶片
掺杂	摻雜
工艺	製程
硅	矽
硅片	矽晶圓
纳米	奈米
良率	良率

# === IC設計術語 ===
模拟	類比
数字	數位
仿真	模擬
默认	預設
版图	佈局
综合	合成
寄存器	暫存器
管脚	腳位
框图	方塊圖
网表	網表
复位	重啟

# === 電子元件/電路術語 ===
触发器	正反器
与非门	反及閘
或非门	反或閘
与门	及閘
或门	或閘
反相器	反相器
有源	主動
无源	被動
偏置	偏壓
纹波	漣波
采样	取樣
调制	調變
受主	受體
标量	純量

# === 封裝/測試術語 ===
封装内系统	封裝體系
单片系统	單晶片系統
传输门	傳輸閘

# === 材料/物理術語 ===
肖特基	蕭特基
雪崩击穿	突崩潰

# === 通用技術術語（半導體場景常見）===
固件	韌體
传感器	感測器
接口	介面
硬件	硬體
软件	軟體
屏幕	螢幕
分辨率	解析度
数据选择器	數據多工器

# === 進階製程術語 ===
反应腔	腔體
闸极全环绕	環繞式閘極
閘極全環繞結構	環繞式閘極結構
装置	設備
gate-all-around	環繞式閘極

# === 量測/品質術語 ===
制程能力	製程能力
可靠度	可靠度
良率	良率

# === 混合信號/通訊 ===
混合信号集成电路	混合訊號積體電路
模拟数字转换器	類比數位轉換器
数据选择器	數據多工器
